summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_location,violation_precinct,issuer_precinct,issuer_code,issuer_command,issuer_squad,violation_time,violation_county,violation_in_front_of_or_opposite,house_number,street_name,date_first_observed,law_section,sub_division,days_parking_in_effect,from_hours_in_effect,to_hours_in_effect,vehicle_color,unregistered_vehicle?,vehicle_year,meter_number,feet_from_curb,violation_hour,is_weekend,day_category
1363747460,G10BVW,NJ,PAS,2015-07-09,21,SDN,FORD,X,78730,34130,23230,0.0,90.0,90,0,359310,TEBN,0,1208P,K,F,183,S 8 ST,0,408,D1,YBBYBBB,1130A,0100P,BK,0.0,0,-,0,12,False,Weekday
1363747472,GJB9829,NY,PAS,2015-07-09,21,SUBN,HONDA,X,78730,34130,23230,20151017.0,90.0,90,0,359310,TEBN,0,1215P,K,F,185,S 8 ST,0,408,D1,YBBYBBB,1130A,0100P,GREY,0.0,2014,-,0,12,False,Weekday
1363747850,GVA9486,NY,PAS,2015-07-09,21,FOUR,VOLKS,P,51730,92430,42030,20170219.0,94.0,94,0,345440,TEBN,0,0900A,K,F,77,HURON ST,0,408,D1,YBBYBBB,0830A,1000A,BLK,0.0,2006,-,0,9,False,Weekday
1363747897,GTR8255,NY,PAS,2015-07-09,21,TWOD,SMART,P,34730,42030,58330,20160930.0,94.0,94,0,345440,TEBN,0,0917A,K,O,84,EAGLE ST,0,408,D1,YBBYBBB,0830A,1000A,WHT,0.0,2015,-,0,9,False,Weekday
1363747927,GXZ7134,NY,PAS,2015-07-09,21,SUBN,TOYOT,P,57030,18630,65730,20170519.0,94.0,94,0,345440,TEBN,0,0949A,K,F,913,LORIMER ST,0,408,D1,YBBYBBB,0930A,1100A,BLUE,0.0,1987,-,0,9,False,Weekday
1363747940,GCV1848,NY,PAS,2015-07-09,21,SUBN,NISSA,P,46330,60430,24330,20161128.0,94.0,94,0,345440,TEBN,0,1012A,K,F,181,GUERNSEY ST,0,408,D1,YBBYBBB,0930A,1100A,SILV,0.0,2013,-,0,10,False,Weekday
1363747976,YD6006,CT,PAS,2015-07-09,21,FOUR,TOYOT,P,51730,58330,59640,0.0,94.0,94,0,345440,TEBN,0,1203P,K,F,177,HURON ST,0,408,D1,YBBYBBB,1130A,0100P,BLK,0.0,0,-,0,12,False,Weekday
1363748026,GWL9316,NY,PAS,2015-07-09,21,SUBN,TOYOT,P,26930,58330,59640,20170304.0,94.0,94,0,345440,TEBN,0,1230P,K,F,105,CLAY ST,0,408,D1,YBBYBBB,1130A,0100P,SILVE,0.0,2002,-,0,12,False,Weekday
1363748038,JKY3781,PA,PAS,2015-07-09,21,SDN,VOLKS,P,88130,58730,85730,20160388.0,79.0,79,301,346210,T301,0,0824A,K,F,117,VERNON AVE,0,408,I3,YBBYBBB,0800A,0930A,GRY,0.0,0,-,0,8,False,Weekday
1363748040,T650785C,NY,OMT,2015-07-09,21,SUBN,CHEVR,P,88130,58730,85730,20151031.0,79.0,79,301,346210,T301,0,0831A,K,F,109,VERNON AVE,0,408,D1,YBBYBBB,0800A,0930A,BLK,0.0,2015,-,0,8,False,Weekday
